Old	New
Acarospora_rhizobola_WE15_Westberg_2994	Acarospora-rhizobola-EU870640
Acarospora_rosulata_SAR31_Knudsen_9509	Acarospora-rosulata-LN810796
Acarospora_rosulata_SAR34_Westberg_08-193	Acarospora-rosulata-LN810797
Acarospora_rugulosa_SAR172_Westberg_08-119	Acarospora-rugulosa-LN810798
Acarospora_rugulosa_SAR173_Westberg_10-099	Acarospora-rugulosa-LN810799
Acarosporaschleicheri_SAR222_Sweat___Yansky_KGS1196	Acarospora-schleicheri-LN810801
Acarospora_terricola_SAR94_Knudsen_11216___Sagar	Acarospora-terricola-LN810806
Glypholecia_scabra_SAR128_Westberg_08-232	Glypholecia-scabra-LN810811
Myriospora_myochroa_WE12_Westberg_06-051	Myriospora-myochroa-EU870677
Myriospora_rhagadiza_WE04_Westberg_06-040	Myriospora-rhagadiza-EU870647
Myriospora_scabrida_WE03_Santesson_33077a	Myriospora-scabrida-LN810812
Myriospora_smaragdula_A36__gren_384	Myriospora-smaragdula-EU870686
Pleopsidium_chlorophanum_MW57_Nordin_4439	Pleopsidium-chlorophanum-EU870691
Pleopsidium_chlorophanum_SAR221_Nordin_6209	Pleopsidium-chlorophanum-LN810813
Pleopsidium_flavum_MW58_Obermayer_7790	Pleopsidium-flavum-AY853385
Polysporina_gyrocarpa_SAR267_Knudsen_9705	Polysporina-gyrocarpa-LN810817
Sarcogyne_algoviae_SAR37_Westberg_08-276	Sarcogyne-algoviae-LN810849
Sarcogyne_algoviae_SAR59_Westberg_08-168	Sarcogyne-algoviae-LN810850
Sarcogyne_distinguenda_SAR42_Westberg_08-305	Sarcogyne-distinguenda-LN810854
Sarcogyne_hypophaea_SAR198_Westberg_SAR198	Sarcogyne-hypophaea-LN810856
Sarcogyne_hypophaea_SAR209_Pyk_l__23561	Sarcogyne-hypophaea-LN810857
Sarcogyne_hypophaeoides_SAR36_Westberg_08-002	Sarcogyne-hypophaeoides-LN810858
Sarcogyne_hypophaeoides_SAR49_Westberg_08-139	Sarcogyne-hypophaeoides-LN810859
Timdalia_intricata_SAR226_Westberg_P114	Timdalia-intricata-LN810867
Timdalia_intricata_SAR92_Westberg_SAR92	Timdalia-intricata-LN810866
Acarospora_fasciculata_Kocourkova_10848	Sarcogyne-fasciculata-OQ171069
Acarospora_fasciculata_Kocorkova_10974	Sarcogyne-fasciculata-OQ171105
Acarospora_fasciculata_Kocourkova_10863	Sarcogyne-fasciculata-OQ171106
Acarospora_fasciculata_Knudsen_16494_2	Sarcogyne-fasciculata-ON707072
Acarospora_tejonensis_Knudsen_18288	Acarospora-tejonensis-OP162388
Pycnora_sorophora_CO15_Hermansson_7903a	Pycnora-sorophora-FJ959357
Sarcogyne_sharnoffii_ON707101	Acarospora-sharnoffii-ON707101
Sarcogyne_coreleonigrans_2_12_Kocourkova_11119	Sarcogyne-coreleonigrans-PP091276
